Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,3.940000,3.940000,3.900000,3.930000,3.650007,6700
2010-01-04,3.890000,3.990000,3.890000,3.960000,3.677870,12100
2010-01-05,3.900000,4.060000,3.880000,3.940000,3.659296,41600
2010-01-06,3.890000,3.920000,3.820000,3.920000,3.640719,11500
2010-01-07,3.960000,4.040000,3.930000,4.040000,3.752171,33700
2010-01-08,4.090000,4.120000,3.980000,3.980000,3.696445,13200
2010-01-11,3.970000,3.990000,3.930000,3.930000,3.650007,9200
2010-01-12,3.930000,3.930000,3.820000,3.850000,3.575706,18100
2010-01-13,3.880000,3.950000,3.850000,3.880000,3.603569,44100
2010-01-14,3.870000,3.950000,3.840000,3.950000,3.668583,19000
2010-01-15,3.930000,3.950000,3.880000,3.950000,3.668583,8100
2010-01-19,3.890000,3.990000,3.890000,3.910000,3.631433,16300
2010-01-20,3.940000,3.940000,3.900000,3.900000,3.622145,5000
2010-01-21,3.930000,3.950000,3.740000,3.800000,3.529269,41900
2010-01-22,3.810000,3.900000,3.700000,3.880000,3.603569,10400
2010-01-25,3.840000,3.870000,3.800000,3.830000,3.557132,48200
2010-01-26,3.780000,3.870000,3.780000,3.850000,3.575706,6900
2010-01-27,3.850000,3.880000,3.850000,3.850000,3.575706,5800
2010-01-28,3.800000,3.950000,3.800000,3.950000,3.668583,7500
2010-01-29,3.900000,3.950000,3.830000,3.850000,3.575706,9700
2010-02-01,3.860000,3.880000,3.780000,3.850000,3.575706,2300
2010-02-02,3.850000,3.880000,3.790000,3.850000,3.575706,8200
2010-02-03,3.840000,3.910000,3.840000,3.850000,3.575706,4100
2010-02-04,3.810000,3.900000,3.770000,3.780000,3.510694,27800
2010-02-05,3.750000,3.810000,3.750000,3.800000,3.529269,11500
2010-02-08,3.780000,3.810000,3.750000,3.800000,3.529269,5300
2010-02-09,3.750000,3.830000,3.560000,3.790000,3.519982,8900
2010-02-10,3.790000,3.790000,3.790000,3.790000,3.519982,0
2010-02-11,3.780000,3.820000,3.770000,3.820000,3.547844,1900
2010-02-12,3.810000,3.810000,3.770000,3.770000,3.501407,2400
2010-02-16,3.760000,3.880000,3.760000,3.880000,3.603569,8300
2010-02-17,3.820000,3.930000,3.750000,3.850000,3.575706,13300
2010-02-18,4.200000,4.540000,4.150000,4.380000,4.067946,85300
2010-02-19,4.320000,4.430000,4.270000,4.350000,4.040084,25200
2010-02-22,4.370000,4.480000,4.170000,4.280000,3.975071,24800
2010-02-23,4.340000,4.390000,4.060000,4.100000,3.807895,20100
2010-02-24,4.060000,4.110000,3.890000,4.060000,3.770746,24500
2010-02-25,3.870000,4.070000,3.840000,3.910000,3.631433,124900
2010-02-26,3.900000,4.050000,3.900000,4.040000,3.752171,44600
2010-03-01,4.070000,4.140000,3.950000,4.050000,3.761458,31900
2010-03-02,3.980000,4.200000,3.980000,4.130000,3.835758,21900
2010-03-03,4.080000,4.240000,4.000000,4.230000,3.928635,17400
2010-03-04,4.150000,4.220000,4.150000,4.190000,3.891483,14400
2010-03-05,4.230000,4.250000,4.110000,4.250000,3.947210,25100
2010-03-08,4.250000,4.300000,4.120000,4.290000,3.984358,28300
2010-03-09,4.240000,4.340000,4.220000,4.270000,3.965783,55000
2010-03-10,4.300000,4.300000,4.110000,4.300000,3.993647,26300
2010-03-11,4.300000,4.360000,4.220000,4.320000,4.012221,50500
2010-03-12,4.300000,4.340000,4.240000,4.300000,3.993647,40100
2010-03-15,4.330000,4.340000,4.240000,4.300000,3.993647,30600
2010-03-16,4.330000,4.340000,4.250000,4.310000,4.002935,59500
2010-03-17,4.270000,4.340000,4.250000,4.310000,4.002935,77300
2010-03-18,4.310000,4.410000,4.300000,4.380000,4.067946,17900
2010-03-19,4.280000,4.400000,4.280000,4.280000,3.975071,52400
2010-03-22,4.270000,4.540000,4.220000,4.460000,4.142247,19900
2010-03-23,4.460000,4.460000,4.360000,4.450000,4.132959,13300
2010-03-24,4.440000,4.520000,4.360000,4.470000,4.151535,22400
2010-03-25,4.550000,4.590000,4.430000,4.430000,4.114384,24800
2010-03-26,4.390000,4.570000,4.390000,4.400000,4.086523,32500
2010-03-29,4.500000,4.530000,4.470000,4.490000,4.170109,19100
2010-03-30,4.500000,4.650000,4.450000,4.590000,4.262985,19000
2010-03-31,4.590000,4.650000,4.550000,4.600000,4.272274,17300
2010-04-01,4.650000,4.700000,4.610000,4.650000,4.318711,30800
2010-04-05,4.730000,4.850000,4.690000,4.830000,4.485886,29400
2010-04-06,4.860000,4.900000,4.840000,4.850000,4.504462,42700
2010-04-07,4.870000,4.960000,4.770000,4.910000,4.560186,19900
2010-04-08,4.930000,4.970000,4.870000,4.950000,4.597337,27200
2010-04-09,4.890000,4.960000,4.560000,4.890000,4.541613,54900
2010-04-12,4.890000,4.900000,4.840000,4.850000,4.504462,14400
2010-04-13,4.880000,4.960000,4.720000,4.960000,4.606626,22300
2010-04-14,4.930000,5.180000,4.900000,5.030000,4.671638,38600
2010-04-15,4.920000,5.090000,4.900000,5.010000,4.653063,15100
2010-04-16,5.000000,5.070000,4.970000,5.020000,4.662352,28000
2010-04-19,5.000000,5.020000,4.900000,5.000000,4.643775,24400
2010-04-20,5.030000,5.150000,5.000000,5.050000,4.690214,33300
2010-04-21,5.010000,5.090000,4.960000,5.030000,4.671638,4100
2010-04-22,5.000000,5.090000,4.980000,5.070000,4.708790,18800
2010-04-23,5.050000,5.100000,5.030000,5.090000,4.727365,4100
2010-04-26,5.130000,5.130000,5.050000,5.060000,4.699501,14300
2010-04-27,5.000000,5.000000,4.700000,4.980000,4.625202,67800
2010-04-28,5.000000,5.000000,4.910000,4.930000,4.578762,5800
2010-04-29,4.870000,4.990000,4.870000,4.990000,4.634489,22000
2010-04-30,5.000000,5.000000,4.960000,4.970000,4.615913,11500
2010-05-03,5.000000,5.000000,4.870000,4.960000,4.606626,34900
2010-05-04,4.910000,4.980000,4.840000,4.840000,4.495174,16900
2010-05-05,4.820000,4.980000,4.790000,4.950000,4.597337,15900
2010-05-06,4.960000,5.000000,4.630000,4.920000,4.569476,38600
2010-05-07,4.990000,5.000000,4.750000,4.870000,4.523037,21300
2010-05-10,5.000000,5.000000,4.860000,4.920000,4.569476,10700
2010-05-11,5.000000,5.000000,4.860000,4.980000,4.625202,23100
2010-05-12,5.000000,5.000000,4.940000,5.000000,4.643775,23100
2010-05-13,4.970000,4.980000,4.860000,4.970000,4.615913,7300
2010-05-14,4.900000,4.940000,4.870000,4.920000,4.569476,12300
2010-05-17,4.950000,4.980000,4.850000,4.860000,4.513750,11100
2010-05-18,4.860000,4.880000,4.770000,4.780000,4.439449,10100
2010-05-19,4.770000,4.870000,4.750000,4.790000,4.448737,16500
2010-05-20,4.570000,4.780000,4.570000,4.650000,4.318711,46600
2010-05-21,4.530000,4.710000,4.400000,4.600000,4.272274,41700
2010-05-24,4.590000,4.740000,4.500000,4.600000,4.272274,38000
2010-05-25,4.520000,4.620000,4.330000,4.550000,4.225837,54700
2010-05-26,4.600000,4.680000,4.600000,4.610000,4.281559,11600
2010-05-27,4.700000,5.100000,4.680000,4.700000,4.365149,152800
2010-05-28,4.710000,4.710000,4.530000,4.670000,4.337286,34900
2010-06-01,4.620000,4.820000,4.270000,4.670000,4.337286,33100
2010-06-02,4.650000,4.790000,4.490000,4.720000,4.383724,31600
2010-06-03,4.700000,4.890000,4.650000,4.750000,4.411587,26300
2010-06-04,4.750000,4.840000,4.610000,4.830000,4.485886,55200
2010-06-07,4.820000,4.820000,4.740000,4.790000,4.448737,32200
